시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
의정부시,202502,2423,2875,3387
의정부시,202501,3545,3552,3820
의정부시,202412,1732,4868,5673
의정부시,202411,2564,4796,3543
의정부시,202410,2378,4708,3624
의정부시,202409,2347,4890,3349
의정부시,202408,1986,2818,2342
의정부시,202407,1328,2847,2438
의정부시,202406,742,2885,2452
의정부시,202405,1021,2607,2166
의정부시,202404,1274,2674,2088
의정부시,202403,1489,1936,2475
의정부시,202402,1956,2997,3307
의정부시,202401,612,3333,4031
이천시,202604,2576,20038,15161
이천시,202603,1828,11844,13460
이천시,202602,1377,14956,12074
이천시,202601,1371,9593,11876
이천시,202512,1516,12324,12113
이천시,202511,1510,12417,12562
이천시,202510,1429,11569,11084
이천시,202509,1987,15500,10461
이천시,202508,1830,8084,8139
이천시,202507,5499,9073,8133
이천시,202506,1374,8081,8365
이천시,202505,1349,8933,9409
이천시,202504,1666,8253,9167
이천시,202503,1565,7409,9137
이천시,202502,1876,6345,9333
이천시,202501,2073,17197,10350
이천시,202412,1469,7573,9101
이천시,202411,1352,7923,8935
이천시,202410,1847,7068,9866
이천시,202409,1672,13501,9295
이천시,202408,1308,7400,8208
이천시,202407,1580,7637,9107
이천시,202406,1044,7948,5906
이천시,202405,1207,7759,8087
이천시,202404,1405,7499,8156
이천시,202403,1830,7036,9003
이천시,202402,1886,12574,9619
이천시,202401,2301,6823,8556
파주시,202604,4825,36350,37012
파주시,202603,4280,33100,34852
파주시,202602,3394,39896,34049
파주시,202601,3777,34606,34652
파주시,202512,3785,32838,32656
파주시,202511,4073,32541,33046
파주시,202510,6437,32706,29607
파주시,202509,8479,27373,28197
파주시,202508,9314,25411,25267
파주시,202507,13716,25457,26688
파주시,202506,4613,27652,28922
파주시,202505,4439,33456,31096
파주시,202504,6418,28745,29258
파주시,202503,10981,27895,29100
파주시,202502,58879,20238,20415
파주시,202501,37392,27228,22138
파주시,202412,3691,21599,24386
파주시,202411,3782,20812,20873
파주시,202410,4476,20157,22085
파주시,202409,3796,24624,21937
파주시,202408,3695,20215,21634
파주시,202407,4265,19786,22387
파주시,202406,3026,18785,20495
파주시,202405,3816,24200,22583
파주시,202404,4188,19426,19740
파주시,202403,4560,20189,21196
파주시,202402,4802,29503,19276
파주시,202401,4031,16560,13829
평택시,202604,3453,15982,18598
평택시,202603,3403,17519,21058
평택시,202602,2769,22830,19191
평택시,202601,3670,19747,21138
평택시,202512,3802,18498,18373
평택시,202511,3688,19095,21785
평택시,202510,4990,31950,19199
평택시,202509,6057,12831,12941
평택시,202508,10090,12606,13560
평택시,202507,10622,17712,12425
평택시,202506,2954,13750,13489
평택시,202505,2299,12169,13618
평택시,202504,3570,13338,14301
평택시,202503,3697,13278,14815
평택시,202502,4300,13497,13917
평택시,202501,5222,19858,14187
평택시,202412,3111,8696,11459
평택시,202411,2976,12312,12906
평택시,202410,4225,12572,14004
평택시,202409,4137,16822,14222
평택시,202408,3217,13494,13303
평택시,202407,3501,12757,13058
평택시,202406,2349,13763,12823
평택시,202405,2214,11748,13026
평택시,202404,2523,11407,13106
평택시,202403,2945,10877,14355
평택시,202402,3578,21159,14457
평택시,202401,3332,11990,12139
포천시,202604,1234,5662,5160
포천시,202603,1448,4038,5317
포천시,202602,1539,8362,5692
포천시,202601,1362,4160,3517
포천시,202512,637,885,1775
포천시,202511,883,2625,4322
포천시,202510,2060,6598,5556
포천시,202509,2237,6035,4576
포천시,202508,1302,3729,3497
포천시,202507,3174,3543,2995
포천시,202506,1109,3117,3188
포천시,202505,919,3061,2970
포천시,202504,752,2828,2433
포천시,202503,723,2369,2322
포천시,202502,577,1998,1995
포천시,202501,48,2271,2073
포천시,202412,467,4433,4361
포천시,202411,236,387,404
포천시,202410,749,2591,2685
포천시,202409,590,2927,2212
포천시,202408,715,2041,1971
포천시,202407,905,2016,1505
포천시,202406,564,2249,1712
포천시,202405,313,2064,1854
포천시,202404,357,2173,2074
포천시,202403,429,1868,2302
포천시,202402,619,2540,2201
포천시,202401,316,2426,1957
하남시,202604,2698,8819,9481
하남시,202603,2808,9099,10329
하남시,202602,2316,10816,9368
하남시,202601,2414,8846,9945
하남시,202512,2438,10428,11193
하남시,202511,4429,8893,11224
하남시,202510,2888,12851,10339
하남시,202509,3681,12702,10105
하남시,202508,4250,8861,7964
하남시,202507,4872,12269,8329
하남시,202506,1598,5542,6239
하남시,202505,1718,7107,7507
하남시,202504,2322,7140,7521
하남시,202503,2452,7193,8070
하남시,202502,2564,7130,7578
하남시,202501,2858,10179,8228
하남시,202412,1796,5476,7651
하남시,202411,2158,5669,7741
하남시,202410,2723,5694,10168
하남시,202409,3222,12210,12651
하남시,202408,2651,13692,13522
하남시,202407,2340,15384,13128
하남시,202406,1864,18128,11829
하남시,202405,1770,7160,8103
하남시,202404,2311,7048,8114
하남시,202403,2148,6949,9038
하남시,202402,2800,10534,9331
하남시,202401,1934,6120,10213
화성시,202604,8390,58826,61612
화성시,202603,9549,58096,77333
화성시,202602,7805,80207,77039
화성시,202601,8418,72769,74469
화성시,202512,8083,77470,74113
